Designator,Mid X,Mid Y,Rotation,Layer
C1,26.035,12.7,0.0,top
C2,26.035,19.05,0.0,top
C3,26.035,20.955,0.0,top
C4,2.159,49.276,180.0,top
C5,10.414,52.578,180.0,top
C6,8.001,15.367,180.0,top
C7,17.399,16.764,180.0,top
D1,50.0,50.0,135.0,top
D2,50.0,10.0,45.0,top
D3,10.0,10.0,315.0,top
D4,8.382,48.26,270.0,top
J1,22.5,5.42,0.0,top
J2,37.025,57.0,90.0,top
J3,39.0,5.1,180.0,top
R1,2.159,47.752,0.0,top
R3,40.005,50.292,90.0,top
R4,25.527,29.464,270.0,top
R5,24.003,29.464,270.0,top
R6,15.24,5.842,180.0,top
R7,15.24,4.318,180.0,top
SW1,1.6,42.0,270.0,top
SW2,1.6,34.0,270.0,top
U1,22.0,43.55,0.0,top
U2,26.035,15.875,0.0,top
U3,9.8,21.8,0.0,top
U4,17.526,19.05,180.0,top
U5,43.18,50.292,180.0,top
